score_threshold,margin_threshold,known_acceptance,unknown_rejection,false_acceptance,balanced_score
0.89,0.08,0.63,1.0,0.0,0.815
0.89,0.085,0.62,1.0,0.0,0.81
0.89,0.09,0.62,1.0,0.0,0.81
0.89,0.095,0.58,1.0,0.0,0.79
0.89,0.1,0.54,1.0,0.0,0.77
0.895,0.0,0.67,1.0,0.0,0.835
0.895,0.005,0.67,1.0,0.0,0.835
0.895,0.01,0.67,1.0,0.0,0.835
0.895,0.015,0.67,1.0,0.0,0.835
0.895,0.02,0.67,1.0,0.0,0.835
0.895,0.025,0.67,1.0,0.0,0.835
0.895,0.03,0.67,1.0,0.0,0.835
0.895,0.035,0.67,1.0,0.0,0.835
0.895,0.04,0.67,1.0,0.0,0.835
0.895,0.045,0.67,1.0,0.0,0.835
0.895,0.05,0.67,1.0,0.0,0.835
0.895,0.055,0.67,1.0,0.0,0.835
0.895,0.06,0.67,1.0,0.0,0.835
0.895,0.065,0.66,1.0,0.0,0.8300000000000001
0.895,0.07,0.63,1.0,0.0,0.815
0.895,0.075,0.61,1.0,0.0,0.8049999999999999
0.895,0.08,0.6,1.0,0.0,0.8
0.895,0.085,0.59,1.0,0.0,0.7949999999999999
0.895,0.09,0.59,1.0,0.0,0.7949999999999999
0.895,0.095,0.56,1.0,0.0,0.78
0.895,0.1,0.52,1.0,0.0,0.76
0.9,0.0,0.63,1.0,0.0,0.815
0.9,0.005,0.63,1.0,0.0,0.815
0.9,0.01,0.63,1.0,0.0,0.815
0.9,0.015,0.63,1.0,0.0,0.815
0.9,0.02,0.63,1.0,0.0,0.815
0.9,0.025,0.63,1.0,0.0,0.815
0.9,0.03,0.63,1.0,0.0,0.815
0.9,0.035,0.63,1.0,0.0,0.815
0.9,0.04,0.63,1.0,0.0,0.815
0.9,0.045,0.63,1.0,0.0,0.815
0.9,0.05,0.63,1.0,0.0,0.815
0.9,0.055,0.63,1.0,0.0,0.815
0.9,0.06,0.63,1.0,0.0,0.815
0.9,0.065,0.62,1.0,0.0,0.81
0.9,0.07,0.6,1.0,0.0,0.8
0.9,0.075,0.59,1.0,0.0,0.7949999999999999
0.9,0.08,0.58,1.0,0.0,0.79
0.9,0.085,0.57,1.0,0.0,0.7849999999999999
0.9,0.09,0.57,1.0,0.0,0.7849999999999999
0.9,0.095,0.54,1.0,0.0,0.77
0.9,0.1,0.5,1.0,0.0,0.75
